ibge7;Município;Proporção da população atendida pela Estratégia de Saúde da Família;Cobertura vacinal contra poliomielite em menores de 1 ano;Cobertura vacinal de tríplice viral da população de 1 ano de idade;Cobertura vacinal de febre amarela em menores de 1 ano
3111101;Campina Verde;85,88;95,03;88,2;93,79
3111150;Campo Azul;100;128,07;133,33;145,61
3111200;Campo Belo;84,89;99,01;109,52;79,15
3111309;Campo do Meio;100;108,28;87,59;79,31
3111408;Campo Florido;100;83,87;80,65;78,49
3111507;Campos Altos;79,44;95,68;111,89;95,68
3111606;Campos Gerais;83,73;105,88;109;98,96
3111705;Canaã;100;138,78;120,41;120,41
3111804;Canápolis;100;78,52;77,78;78,52
3111903;Cana Verde;100;76,67;96,67;88,33
3112000;Candeias;100;109,4;116,24;105,13
3112059;Cantagalo;100;80;108,33;71,67
3112109;Caparaó;100;97,59;116,87;92,77
3112208;Capela Nova;100;112,5;110;97,5
3112307;Capelinha;98,96;92,39;101,86;83,76
3112406;Capetinga;100;132,79;106,56;119,67
3112505;Capim Branco;99,48;88,62;95,12;97,56
3112604;Capinópolis;88,55;92,81;99,4;94,01
3112653;Capitão Andrade;100;69,12;77,94;72,06
3112703;Capitão Enéas;100;62,9;67,2;50,54
3112802;Capitólio;100;120,79;119,8;121,78
3112901;Caputira;100;89,6;88;78,4
3113008;Caraí;96,72;81,52;83,7;75
3113107;Caranaíba;90,81;68;80;44
3113206;Carandaí;100;92;91,33;87
3113305;Carangola;82,74;83,13;76,39;67,23
3113404;Caratinga;73,27;81,42;86,85;70,64
3113503;Carbonita;100;125,56;130;123,33
3113602;Careaçu;100;102,94;126,47;107,35
3113701;Carlos Chagas;100;111,74;120,66;109,86
3113800;Carmésia;100;90;96,67;106,67
3113909;Carmo da Cachoeira;100;134,33;138,06;133,58
3114006;Carmo da Mata;100;108,51;103,19;100
3114105;Carmo de Minas;96,17;100,64;107,01;98,73
3114204;Carmo do Cajuru;100;83,21;97,71;80,15
3114303;Carmo do Paranaíba;94,78;72,59;78,13;62,1
3114402;Carmo do Rio Claro;54,07;94,39;84,69;85,71
3114501;Carmópolis de Minas;88,19;93,22;100,85;90,68
3114550;Carneirinho;85,68;88,46;87,5;76,92
3114600;Carrancas;100;80,95;92,06;82,54
3114709;Carvalhópolis;95,91;111,76;132,35;126,47
3114808;Carvalhos;100;76;98;92
3114907;Casa Grande;100;115;120;145
3115003;Cascalho Rico;100;68,75;109,38;78,13
3115102;Cássia;63,2;109,91;105,19;97,17
3115300;Cataguases;72,31;73,73;80,02;70,22
3115359;Catas Altas;100;106,45;154,84;145,16
3115409;Catas Altas da Noruega;100;100;88,89;70,37
3115458;Catuji;100;66,19;76,26;66,19
3115474;Catuti;100;88,24;80,88;82,35
3115508;Caxambu;67,85;99,57;95,65;86,96
