ibge7;Município;Proporção da população atendida pela Estratégia de Saúde da Família;Cobertura vacinal contra poliomielite em menores de 1 ano;Cobertura vacinal de tríplice viral da população de 1 ano de idade;Cobertura vacinal de febre amarela em menores de 1 ano
3145208;Nova Serrana;56,67;117,89;120,88;104,77
3136603;Nova União;100;130,67;117,33;125,33
3145307;Novo Cruzeiro;100;91,14;83,04;83,54
3145356;Novo Oriente de Minas;100;87,83;94,78;83,48
3145372;Novorizonte;100;38,57;32,86;18,57
3145406;Olaria;100;118,18;127,27;100
3145455;Olhos D' Água;100;128,99;110,14;111,59
3145505;Olímpio Noronha;100;125,81;177,42;109,68
3145604;Oliveira;98,26;102,06;102,06;101,55
3145703;Oliveira Fortes;100;100;108,33;108,33
3145802;Onça do Pitangui;91,21;88,57;100;111,43
3145851;Oratórios;100;144,23;125;121,15
3145877;Orizânia;100;73,33;77,5;71,67
3145901;Ouro Branco;72,11;85,23;100,76;93,37
3146008;Ouro Fino;37,44;73,89;82,51;74,15
3146107;Ouro Preto;94,09;89,81;100,47;78,81
3146206;Ouro Verde de Minas;100;91,35;91,35;96,15
3146255;Padre Carvalho;100;50;85;56,25
3146305;Padre Paraíso;100;123,6;113,2;118,8
3146404;Paineiras;100;100;174,07;107,41
3146503;Pains;100;122,99;101,15;110,34
3146552;Pai Pedro;100;103,23;101,61;90,32
3146602;Paiva;100;61,54;53,85;53,85
3146701;Palma;100;75,38;101,54;89,23
3146750;Palmópolis;100;109,76;101,22;102,44
3146909;Papagaios;54,59;96,61;89,83;96,61
3147006;Paracatu;57,89;81,33;87,67;80,03
3147105;Pará de Minas;78,54;83,13;86,03;76,8
3147204;Paraguaçu;79,84;87,41;82,59;81,11
3147303;Paraisópolis;67,74;95,71;102,86;93,81
3147402;Paraopeba;60,53;100,98;118,03;103,28
3147501;Passabém;100;61,54;100;69,23
3147600;Passa Quatro;100;26,53;27,55;22,45
3147709;Passa Tempo;100;126,56;117,19;121,88
3147808;Passa Vinte;100;95,24;76,19;114,29
3147907;Passos;57,33;71,82;70,75;62,41
3147956;Patis;100;114;162;132
3148004;Patos de Minas;74,88;68,79;83,13;76,12
3148103;Patrocínio;71,36;99,07;98,52;88,72
3148202;Patrocínio do Muriaé;100;26,19;16,67;28,57
3148301;Paula Cândido;100;142,31;129,49;101,28
3148400;Paulistas;100;36;84;82
3148509;Pavão;100;168,6;147,67;148,84
3148608;Peçanha;93,45;92,79;116,35;81,73
3148707;Pedra Azul;94,54;103,68;99,67;96,32
3148756;Pedra Bonita;100;88,46;124,04;75
3148806;Pedra do Anta;100;112,9;77,42;103,23
3148905;Pedra do Indaiá;100;113,51;143,24;116,22
3149002;Pedra Dourada;100;86,21;82,76;72,41
3149101;Pedralva;100;81,82;93,51;75,32
3149150;Pedras de Maria da Cruz;100;118,03;113,93;118,85
3149200;Pedrinópolis;86,81;54,55;72,73;84,85
3149309;Pedro Leopoldo;62,2;83,25;93,77;77,79
3149408;Pedro Teixeira;100;420;400;300
3149507;Pequeri;86,34;103,7;133,33;107,41
3149606;Pequi;100;102,38;119,05;111,9
3149705;Perdigão;100;117,27;133,09;108,63
3149804;Perdizes;100;102,96;114,29;103,94
3149903;Perdões;95,01;164,2;175,57;157,39
3149952;Periquito;100;88,5;85,84;91,15
3150000;Pescador;100;120,37;105,56;103,7
3150109;Piau;100;225;162,5;162,5
3150158;Piedade de Caratinga;100;104,72;141,73;83,46
3150208;Piedade de Ponte Nova;100;146,51;162,79;160,47
3150307;Piedade do Rio Grande;100;87,76;95,92;79,59
3150406;Piedade dos Gerais;100;98,11;135,85;86,79
3150505;Pimenta;100;125,37;240,3;141,79
3150539;Pingo D' Água;100;112,12;106,06;118,18
3150570;Pintópolis;100;81,25;97,32;72,32
3150604;Piracema;100;105,56;129,63;122,22
3150703;Pirajuba;45,29;93,41;96,7;64,84
3150802;Piranga;100;100;97,35;98,01
3150901;Piranguçu;52,39;103,23;116,13;103,23
3151008;Piranguinho;100;105,94;102,97;105,94
3151107;Pirapetinga;100;76,19;84,52;64,29
3151206;Pirapora;94,92;72,67;81,74;70,44
3151305;Piraúba;100;94,12;107,56;71,43
3151404;Pitangui;83,55;89,94;92,82;83,91
3151503;Piumhi;88,92;103,7;91,22;88,45
3151602;Planura;70,17;71,88;85,94;72,66
3151701;Poço Fundo;100;98,77;100;107,36
3151800;Poços de Caldas;65,46;84,54;87,38;78,8
3151909;Pocrane;100;126,76;133,8;92,96
3152006;Pompéu;96,93;94,63;100,98;90,24
3152105;Ponte Nova;75,87;86,77;100,54;88,66
3152131;Ponto Chique;100;58,62;48,28;56,9
3152170;Ponto dos Volantes;100;88,44;81,63;90,48
3152204;Porteirinha;100;104,4;106,71;103,47
3152303;Porto Firme;100;86,41;93,2;80,58
3152402;Poté;100;101,31;103,27;95,42
3152501;Pouso Alegre;56,16;67,13;70,01;56,03
3152600;Pouso Alto;97,46;134,38;114,06;132,81
3152709;Prados;100;124,36;92,31;108,97
3152808;Prata;96,46;73,08;85,99;65,38
3152907;Pratápolis;100;60;82,5;68,75
3153004;Pratinha;79,18;90,2;103,92;100
3153103;Presidente Bernardes;100;75;95,83;89,58
3153202;Presidente Juscelino;100;105;125;105
3153301;Presidente Kubitschek;100;115,56;117,78;102,22
3153400;Presidente Olegário;100;66,16;76,77;63,64
3153608;Prudente de Morais;100;121,43;115,87;104,76
3153707;Quartel Geral;80,22;123,53;117,65;100
3153806;Queluzito;100;190,91;200;200
3153905;Raposos;70;52,79;35,03;43,65
3154002;Raul Soares;100;104,44;113,7;110
3154101;Recreio;81,99;77,55;94,9;74,49
3154150;Reduto;100;63,46;73,08;55,77
3154200;Resende Costa;89,69;92,98;66,67;76,32
3154309;Resplendor;69,41;91,71;73,17;97,56
3154408;Ressaquinha;100;98,08;100;101,92
3154457;Riachinho;100;124;137,33;121,33
3154507;Riacho dos Machados;100;104,81;115,38;106,73
3154606;Ribeirão das Neves;47,01;72,63;76,85;64
3154705;Ribeirão Vermelho;78,14;112,2;126,83;95,12
3154804;Rio Acima;82,77;83,11;73,65;70,95
3154903;Rio Casca;100;104,2;104,2;95,8
3155009;Rio Doce;100;185,71;171,43;192,86
3155108;Rio do Prado;100;81,82;121,21;92,42
3155207;Rio Espera;100;200;180;180
3155306;Rio Manso;97,81;96,36;101,82;100
3155405;Rio Novo;96,29;151,61;178,49;153,76
3155504;Rio Paranaíba;100;163,19;169,44;164,58
3155603;Rio Pardo de Minas;92,61;95,97;98,12;91,67
3155702;Rio Piracicaba;84,25;80,38;108,23;80,38
3155801;Rio Pomba;96,05;85,58;91,63;80,47
3155900;Rio Preto;100;108,89;131,11;100
3156007;Rio Vermelho;99,3;84,44;131,85;66,67
3156106;Ritápolis;100;120;102,22;106,67
3156205;Rochedo de Minas;100;135,71;132,14;100
3156304;Rodeiro;100;116,98;120,75;99,06
3156403;Romaria;81,68;57,58;45,45;66,67
3156452;Rosário da Limeira;100;146;128;122
3156502;Rubelita;100;59,52;50;64,29
3156601;Rubim;100;112,77;107,45;98,94
3156700;Sabará;45,5;72,95;72,36;64,99
3156809;Sabinópolis;100;113,41;114,63;109,76
3156908;Sacramento;98,11;99,7;114,89;99,39
3157005;Salinas;100;80,74;82,17;70,9
3157104;Salto da Divisa;100;63,86;63,86;55,42
3157203;Santa Bárbara;100;89,13;89,61;86,71
3157252;Santa Bárbara do Leste;98,4;163,64;154,55;180,52
3157278;Santa Bárbara do Monte Verde;90,35;128;128;120
3157302;Santa Bárbara do Tugúrio;100;112,5;100;81,25
3157336;Santa Cruz de Minas;100;148,51;112,87;122,77
3157377;Santa Cruz de Salinas;100;153,57;189,29;117,86
3157401;Santa Cruz do Escalvado;100;112,5;117,5;102,5
3157500;Santa Efigênia de Minas;100;84,13;90,48;84,13
3157609;Santa Fé de Minas;100;103,92;98,04;115,69
3157658;Santa Helena de Minas;100;100;106,38;104,26
3157708;Santa Juliana;64,54;107,07;118,69;100,51
3157807;Santa Luzia;65,6;72,63;88,53;64,61
3157906;Santa Margarida;100;96,88;122,77;90,18
3158003;Santa Maria de Itabira;100;91,91;90,44;102,21
3158102;Santa Maria do Salto;100;146,81;119,15;112,77
3158201;Santa Maria do Suaçuí;100;55,15;63,4;58,76
3158300;Santana da Vargem;100;123,68;134,21;131,58
3158409;Santana de Cataguases;100;106,9;113,79;106,9
3158508;Santana de Pirapama;100;140;152,73;121,82
3158607;Santana do Deserto;100;30,56;38,89;22,22
3158706;Santana do Garambéu;100;100;139,13;95,65
3158805;Santana do Jacaré;100;32,81;29,69;37,5
3158904;Santana do Manhuaçu;92,88;81,82;103,64;105,45
3158953;Santana do paraíso;89,41;82,32;80,09;75,19
3159001;Santana do Riacho;100;134,62;105,77;84,62
3159100;Santana dos Montes;100;87,5;106,25;109,38
3159209;Santa Rita de Caldas;96,65;122,47;98,88;110,11
3159308;Santa Rita de Jacutinga;100;93,18;88,64;63,64
3159357;Santa Rita de Minas;100;125,56;131,11;135,56
3159407;Santa Rita do Ibitipoca;100;123,33;100;123,33
3159506;Santa Rita do Itueto;100;94,81;120,78;101,3
3159605;Santa Rita do Sapucaí;53,22;94,9;101,32;93,19
3159704;Santa Rosa da Serra;85,64;84,62;71,79;71,79
3159803;Santa Vitória;100;76,28;84,67;78,47
3159902;Santo Antônio do Amparo;100;111,17;102,54;97,46
3160009;Santo Antônio do Aventureiro;87,8;100;150;103,13
3160108;Santo Antônio do Grama;100;81,54;89,23;76,92
3160207;Santo Antônio do Itambé;100;105,66;83,02;69,81
3160306;Santo Antônio do Jacinto;100;91,87;105,69;84,55
3160405;Santo Antônio do Monte;100;94,12;89,08;87,96
3160454;Santo Antônio do Retiro;100;97,01;119,4;101,49
3160504;Santo Antônio do Rio Abaixo;100;56,25;43,75;25
3160603;Santo Hipólito;100;53,33;56,67;63,33
3160702;Santos Dumont;76,18;80,71;100,62;74,9
3160801;São Bento Abade;100;154,55;139,39;142,42
3160900;São Brás do Suaçuí;100;92,86;78,57;71,43
3160959;São Domingos das Dores;100;96,88;107,29;111,46
3161007;São Domingos do Prata;100;102,87;99,43;91,95
3161056;São Félix de Minas;100;119,51;112,2;97,56
3161106;São Francisco;81,96;85,78;88,41;79,57
3161205;São Francisco de Paula;100;94,74;101,32;82,89
3161304;São Francisco de Sales;45,82;48,15;66,67;45,68
3161403;São Francisco do Glória;100;91,49;131,91;108,51
3161502;São Geraldo;100;115,05;121,51;124,73
3161601;São Geraldo da Piedade;100;41,86;58,14;48,84
3161650;São Geraldo do Baixio;100;128,21;115,38;92,31
3161700;São Gonçalo do Abaeté;100;115,25;140,68;127,12
3161809;São Gonçalo do Pará;91,29;113,22;126,45;114,88
3161908;São Gonçalo do Rio Abaixo;100;108,84;136,05;119,05
3125507;São Gonçalo do Rio Preto;100;60,87;82,61;60,87
3162005;São Gonçalo do Sapucaí;53,99;68,97;66,21;67,59
3162104;São Gotardo;100;86,5;93,32;83,74
3162203;São João Batista do Glória;100;96,63;107,87;95,51
3162252;São João da Lagoa;100;202,56;225,64;171,79
3162302;São João da Mata;100;78,95;107,89;84,21
3162401;São João da Ponte;100;104,03;91,95;82,55
3162450;São João das Missões;100;91,67;106,82;100,38
3162500;São João Del Rei;57,82;84,8;83,68;75,46
3162559;São João do Manhuaçu;88,66;18,39;32,76;24,14
3162575;São João do Manteninha;100;88,75;86,25;82,5
3162609;São João do Oriente;100;55,46;64,71;57,14
3162658;São João do Pacuí;100;137,5;142,5;135
3162708;São João do Paraíso;100;97,53;130,86;94,24
3162807;São João Evangelista;78,41;97,17;110,38;102,36
3162906;São João Nepomuceno;55,44;82,13;92,44;81,44
3162922;São Joaquim de Bicas;74,23;103,1;100,71;97,38
3162948;São José da Barra;84,56;56,38;60,64;93,62
3162955;São José da Lapa;83,39;75,8;79,3;68,22
3163003;São José da Safira;100;91,67;95;78,33
3163102;São José da Varginha;100;116,67;109,52;102,38
3163201;São José do Alegre;81,95;75;137,5;89,29
3163300;São José do Divino;100;83,67;95,92;77,55
3163409;São José do Goiabal;100;114,29;128,57;108,16
3163508;São José do Jacuri;100;87,84;90,54;101,35
3163607;São José do Mantimento;81,97;21,05;13,16;28,95
3163706;São Lourenço;62,23;75,32;86,83;70,13
3163805;São Miguel do Anta;100;106,78;101,69;83,05
3163904;São Pedro da União;100;80,33;111,48;77,05
3164001;São Pedro dos Ferros;100;110,39;116,88;119,48
3164100;São Pedro do Suaçuí;100;78,79;66,67;71,21
3164209;São Romão;100;74,58;86,44;73,73
3164308;São Roque de Minas;97,51;101,59;109,52;100
3164407;São Sebastião da Bela Vista;88,03;82,14;90,48;77,38
3164431;São Sebastião da Vargem Alegre;95,07;200;214,29;223,81
3164472;São Sebastião do Anta;95,44;124,05;130,38;107,59
3164506;São Sebastião do Maranhão;100;55,43;33,7;77,17
3164605;São Sebastião do Oeste;100;133,62;109,48;109,48
3164704;São Sebastião do Paraíso;72,43;87,76;92,09;88,08
3164803;São Sebastião do Rio Preto;100;80;80;93,33
3164902;São Sebastião do Rio Verde;100;105,88;141,18;117,65
3165008;São Tiago;100;96,12;83,72;85,27
3165107;São Tomás de Aquino;100;145,45;151,52;133,33
3165206;São Tomé das Letras;100;128,99;152,17;130,43
3165305;São Vicente de Minas;100;107,69;110,26;105,13
3165404;Sapucaí Mirim;41,14;121,05;136,84;127,63
3165503;Sardoá;90,39;155,13;132,05;147,44
3165537;Sarzedo;68,84;108,1;104,24;103,87
3165560;Sem-Peixe;100;86,36;77,27;95,45
3165578;Senador Amaral;100;146,53;154,46;133,66
3165602;Senador Cortês;100;96,15;123,08;88,46
3165701;Senador Firmino;100;105,49;112,09;102,2
3165800;Senador José Bento;100;100;100;145,45
3165909;Senador Modestino Gonçalves;100;33,33;17,95;20,51
3166006;Senhora de Oliveira;100;162,79;153,49;155,81
3166105;Senhora do Porto;100;146,88;140,63;128,13
3166204;Senhora dos Remédios;100;83,96;115,09;96,23
3166303;Sericita;100;114,94;132,18;121,84
3166402;Seritinga;100;150;166,67;100
3166501;Serra Azul de Minas;100;75;56,82;70,45
3166600;Serra da Saudade;100;150;100;100
3166709;Serra dos Aimorés;100;84;105,33;98,67
3166808;Serra do Salitre;86,24;108,47;111,86;79,1
3166907;Serrania;100;105,43;106,52;102,17
3166956;Serranópolis de Minas;100;83,72;130,23;86,05
3167004;Serranos;100;89,29;82,14;100
3167103;Serro;100;76,52;66,29;69,7
3167202;Sete Lagoas;59,32;73,15;75,98;70,72
3165552;Setubinha;92,91;104,12;101,76;100,59
3167301;Silveirânia;100;114,29;71,43;85,71
3167400;Silvianópolis;100;105,77;117,31;98,08
3167509;Simão Pereira;100;96,97;90,91;115,15
3167608;Simonésia;100;92,21;97,73;85,06
3167707;Sobrália;100;101,69;110,17;98,31
3167806;Soledade de Minas;100;74,19;80,65;72,58
3167905;Tabuleiro;100;122,86;145,71;137,14
3168002;Taiobeiras;100;54,81;53,77;49,16
3168051;Taparuba;100;161,11;138,89;155,56
3168101;Tapira;59,5;136,96;128,26;117,39
3168200;Tapiraí;100;107,69;100;61,54
3168309;Taquaraçu de Minas;77,15;63,16;57,89;55,26
3168408;Tarumirim;100;70,5;65,47;53,96
3168507;Teixeiras;100;104,17;115,83;115,83
3168606;Teófilo Otoni;83,64;74,34;74,9;67,52
3168705;Timóteo;53,01;76,33;73,27;65,82
3168804;Tiradentes;100;115,85;98,78;102,44
3168903;Tiros;100;125,64;129,49;103,85
3169000;Tocantins;99,76;91,59;83,64;77,57
3169059;Tocos do Moji;69,97;123,53;141,18;138,24
3169109;Toledo;91,31;193,75;181,25;170,31
3169208;Tombos;100;67,05;75;77,27
3169307;Três Corações;62,51;75,39;80,78;70,38
3169356;Três Marias;79,09;101,76;101,47;96,18
3169406;Três Pontas;29,79;88,15;92,52;87,45
3169505;Tumiritinga;100;114,81;107,41;85,19
3169604;Tupaciguara;92,82;84,78;109,42;90,94
3169703;Turmalina;100;109,96;118,26;106,22
3169802;Turvolândia;100;134;144;158
3169901;Ubá;50,95;96,28;102,22;89,62
3170008;Ubaí;100;50,76;48,48;40,15
3170057;Ubaporanga;100;101,46;105,11;97,08
3170107;Uberaba;43,67;78,45;87,59;55,68
3170206;Uberlândia;34,87;90,07;94,45;74,35
3170305;Umburatiba;100;62,22;84,44;71,11
3170404;Unaí;47,39;85,03;85,83;76,59
3170438;União de Minas;67,11;97,83;93,48;95,65
3170479;Uruana de Minas;100;110,53;97,37;86,84
3170503;Urucânia;100;96,97;100;99,24
3170529;Urucuia;83,71;148,48;150,51;140,4
3170578;Vargem Alegre;100;114,75;116,39;111,48
3170602;Vargem Bonita;100;76,67;93,33;70
3170651;Vargem Grande do Rio Pardo;100;68,24;69,41;75,29
3170701;Varginha;53,67;91,87;96,88;84,76
3170750;Varjão de Minas;100;145,24;125;140,48
3170800;Várzea da Palma;95,34;116,16;112,33;113,42
3170909;Varzelândia;100;115,32;120,97;100,4
3171006;Vazante;100;80,14;82,62;72,7
3171030;Verdelândia;100;116,11;109,4;109,4
3171071;Veredinha;100;81,54;113,85;81,54
3171105;Veríssimo;71,08;58,33;72,92;41,67
3171154;Vermelho Novo;100;140,91;161,36;156,82
3171204;Vespasiano;50,29;61,26;60,03;52,66
3171303;Viçosa;74,96;53,14;60,32;50,81
3171402;Vieiras;100;118,75;150;106,25
3171600;Virgem da Lapa;100;90,23;93,23;92,48
3171709;Virgínia;100;83,17;102,97;73,27
3171808;Virginópolis;100;103,13;92,97;86,72
3171907;Virgolândia;100;127,5;130;100
3172004;Visconde do Rio Branco;83,64;100,94;102,62;91,39
3172103;Volta Grande;100;95,24;100;95,24
3172202;Wenceslau Braz;100;77,27;77,27;90,91
