ibge7;Município;2010;2020;2021;2022
3109402;Buritizeiro;94,74;91,91;61,78;95,22
3109451;Cabeceira Grande;129,23;100,00;50,00;119,70
3109501;Cabo Verde;102,99;75,61;82,79;84,62
3109600;Cachoeira da Prata;78,72;76,92;65,00;153,57
3109709;Cachoeira de Minas;86,32;101,75;44,19;79,55
3102704;Cachoeira de Pajeú;120,22;123,08;78,89;122,08
3109808;Cachoeira Dourada;100,00;62,50;92,31;145,45
3109907;Caetanópolis;114,00;109,24;90,63;88,71
3110004;Caeté;173,33;80,48;78,50;97,81
3110103;Caiana;92,42;98,41;93,06;103,28
3110202;Cajuri;102,17;151,43;152,63;93,22
3110301;Caldas;127,45;100,89;45,60;71,82
3110400;Camacho;166,67;140,00;84,38;135,71
3110509;Camanducaia;90,20;67,14;57,55;88,48
3110608;Cambuí;92,88;81,11;103,92;78,63
3110707;Cambuquira;101,48;98,52;76,30;97,18
3110806;Campanário;138,64;95,56;62,50;110,34
3110905;Campanha;93,14;98,45;87,08;93,10
3111002;Campestre;105,43;111,73;103,37;97,64
3111101;Campina Verde;101,35;95,03;84,15;82,50
3111150;Campo Azul;193,02;128,07;72,73;73,17
3111200;Campo Belo;87,41;99,01;84,38;95,27
3111309;Campo do Meio;108,55;108,28;108,94;79,43
3111408;Campo Florido;112,82;83,87;62,16;69,53
3111507;Campos Altos;118,29;95,68;84,42;92,90
3111606;Campos Gerais;95,42;105,88;89,83;79,61
3111705;Canaã;84,38;138,78;91,49;66,67
3111804;Canápolis;102,58;78,52;109,26;60,48
3111903;Cana Verde;105,08;76,67;82,76;114,63
3112000;Candeias;104,55;109,40;117,76;72,00
3112059;Cantagalo;218,33;80,00;87,27;125,64
3112109;Caparaó;84,06;97,59;86,52;95,06
3112208;Capela Nova;151,16;112,50;60,00;92,11
3112307;Capelinha;95,83;92,39;94,54;94,57
3112406;Capetinga;109,72;132,79;40,54;113,43
3112505;Capim Branco;110,00;88,62;91,89;114,29
3112604;Capinópolis;120,63;92,81;98,71;98,10
3112653;Capitão Andrade;125,76;69,12;105,56;94,23
3112703;Capitão Enéas;98,49;62,90;90,72;111,68
3112802;Capitólio;131,82;120,79;92,31;89,06
3112901;Caputira;95,27;89,60;98,18;97,06
3113008;Caraí;73,09;81,52;82,49;74,37
3113107;Caranaíba;110,81;68,00;48,48;143,48
3113206;Carandaí;114,02;92,00;82,82;83,79
3113305;Carangola;87,47;83,13;94,90;101,62
3113404;Caratinga;101,12;81,42;69,70;78,21
3113503;Carbonita;114,94;125,56;103,33;129,41
3113602;Careaçu;93,98;102,94;77,78;111,67
3113701;Carlos Chagas;90,48;111,74;81,94;112,50
3113800;Carmésia;105,41;90,00;60,71;100,00
3113909;Carmo da Cachoeira;131,06;134,33;93,66;112,59
3114006;Carmo da Mata;101,06;108,51;108,51;102,83
3114105;Carmo de Minas;101,80;100,64;113,97;82,89
3114204;Carmo do Cajuru;86,52;83,21;88,07;86,57
3114303;Carmo do Paranaíba;123,55;72,59;68,33;70,13
3114402;Carmo do Rio Claro;72,18;94,39;73,33;77,20
3114501;Carmópolis de Minas;103,68;93,22;87,04;106,80
3114550;Carneirinho;116,83;88,46;66,67;65,12
3114600;Carrancas;100,00;80,95;97,87;117,02
3114709;Carvalhópolis;109,76;111,76;89,47;83,78
3114808;Carvalhos;80,43;76,00;106,98;82,50
3114907;Casa Grande;67,86;115,00;105,56;109,52
3115003;Cascalho Rico;160,00;68,75;8,33;170,00
3115102;Cássia;104,76;109,91;91,51;77,27
3115300;Cataguases;85,07;73,73;70,76;83,58
3115359;Catas Altas;138,18;106,45;92,59;103,39
3115409;Catas Altas da Noruega;116,67;100,00;77,14;102,63
3115458;Catuji;107,53;66,19;78,03;108,41
3115474;Catuti;135,00;88,24;114,00;125,00
3115508;Caxambu;92,03;99,57;90,95;90,38
3115607;Cedro do Abaeté;125,00;100,00;550,00;80,00
3115706;Central de Minas;101,04;92,41;70,27;71,25
3115805;Centralina;172,88;93,14;88,75;81,63
3115904;Chácara;260,00;48,72;125,93;105,41
3116001;Chalé;203,92;107,59;73,91;94,62
3116100;Chapada do Norte;147,33;109,35;86,36;117,05
3116159;Chapada Gaúcha;102,99;119,66;105,37;100,51
3116209;Chiador;130,30;8,33;5,13;96,55
3116308;Cipotânea;89,83;109,80;84,91;102,27
3116407;Claraval;314,29;436,36;143,48;520,00
3116506;Claro dos Poções;130,12;98,70;132,76;93,51
3116605;Cláudio;103,77;111,17;82,66;89,51
3116704;Coimbra;104,82;81,33;44,59;88,06
3116803;Coluna;108,15;80,91;139,29;82,35
3116902;Comendador Gomes;91,18;103,70;75,00;121,74
3117009;Comercinho;195,35;103,33;101,96;111,11
3117108;Conceição da Aparecida;110,16;117,54;48,78;78,23
3115201;Conceição da Barra de Minas;107,32;124,14;96,97;135,71
3117306;Conceição das Alagoas;127,27;83,24;80,28;100,59
3117207;Conceição das Pedras;157,89;109,68;69,23;111,54
3117405;Conceição de Ipanema;95,08;118,18;134,38;91,07
3117504;Conceição do Mato Dentro;159,09;90,94;98,22;83,28
3117603;Conceição do Pará;80,00;107,27;118,97;111,67
3117702;Conceição do Rio Verde;139,31;109,88;108,18;90,06
3117801;Conceição dos Ouros;124,58;107,32;66,12;87,07
3117836;Cônego Marinho;97,73;97,75;113,85;128,99
3117876;Confins;121,43;112,77;108,79;74,23
3117900;Congonhal;98,28;84,82;54,95;79,70
3118007;Congonhas;121,00;95,06;94,65;92,01
3118106;Congonhas do Norte;102,00;80,60;118,60;114,58
3118205;Conquista;131,58;96,49;85,07;46,34
3118304;Conselheiro Lafaiete;92,75;92,16;81,75;85,17
3118403;Conselheiro Pena;96,73;82,97;84,71;96,69
3118502;Consolação;158,33;37,04;23,53;191,67
3118601;Contagem;99,97;80,87;70,58;74,96
3118700;Coqueiral;81,82;111,00;97,06;86,27
3118809;Coração de Jesus;104,70;96,93;86,76;129,44
3118908;Cordisburgo;100,00;64,71;85,71;94,74
3119005;Cordislândia;158,82;92,31;120,59;87,50
3119104;Corinto;90,91;80,33;93,96;85,32
3119203;Coroaci;126,58;131,15;116,67;66,25
3119302;Coromandel;98,13;91,36;65,99;94,29
3119401;Coronel Fabriciano;107,87;87,64;75,35;102,29
3119500;Coronel Murta;85,15;107,77;80,39;101,09
3119609;Coronel Pacheco;61,11;116,67;47,62;52,78
3119708;Coronel Xavier Chaves;89,19;96,30;180,00;103,57
3119807;Córrego Danta;107,41;120,00;92,59;144,44
3119906;Córrego do Bom Jesus;73,53;100,00;150,00;81,58
3119955;Córrego Fundo;118,18;95,16;82,86;93,55
3120003;Córrego Novo;102,86;100,00;63,41;81,48
3120102;Couto de Magalhães de Minas;68,85;109,09;116,07;58,49
3120151;Crisólita;124,29;61,90;7,14;138,67
3120201;Cristais;123,08;130,65;96,32;109,09
3120300;Cristália;95,74;113,43;115,79;118,18
3120409;Cristiano Otoni;119,30;108,77;35,71;96,67
3120508;Cristina;106,60;116,16;97,87;113,59
3120607;Crucilândia;101,72;118,18;83,02;60,00
3120706;Cruzeiro da Fortaleza;132,14;115,79;90,32;111,32
3120805;Cruzília;89,89;78,26;86,14;133,51
3120839;Cuparaque;125,00;63,33;122,81;114,55
3120870;Curral de Dentro;109,26;157,32;89,43;86,96
3120904;Curvelo;94,94;92,54;82,21;77,53
3121001;Datas;106,94;94,51;62,82;82,93
3121100;Delfim Moreira;118,95;83,33;154,24;102,53
3121209;Delfinópolis;110,13;142,65;124,39;88,89
3121258;Delta;116,67;122,22;117,09;109,52
3121308;Descoberto;166,67;115,69;87,04;101,96
3121407;Desterro de Entre Rios;112,86;162,90;93,67;105,56
3121506;Desterro do Melo;116,13;122,58;148,15;117,86
3121605;Diamantina;114,15;66,11;60,74;68,64
3121704;Diogo de Vasconcelos;104,26;106,82;115,00;65,22
3121803;Dionísio;140,00;98,33;114,04;82,35
3121902;Divinésia;104,88;163,64;104,35;139,02
3122009;Divino;122,30;48,03;66,56;80,62
3122108;Divino das Laranjeiras;128,57;109,62;93,55;107,50
3122207;Divinolândia de Minas;92,66;127,63;97,62;81,48
3122306;Divinópolis;93,01;93,27;85,55;80,68
3122355;Divisa Alegre;120,00;90,11;60,58;131,58
3122405;Divisa Nova;133,33;110,13;94,32;101,39
3122454;Divisópolis;157,95;125,00;97,83;86,81
3122470;Dom Bosco;118,60;141,18;92,50;191,18
3122504;Dom Cavati;87,50;101,59;123,08;88,89
3122603;Dom Joaquim;127,91;108,33;115,00;113,73
3122702;Dom Silvério;93,10;129,27;114,71;95,83
3122801;Dom Viçoso;76,67;50,00;32,26;96,67
3122900;Dona Euzébia;107,14;106,33;96,25;101,33
3123007;Dores de Campos;87,83;105,15;98,00;71,93
3123106;Dores de Guanhães;104,69;163,27;91,94;154,90
3123205;Dores do Indaiá;91,85;92,44;110,64;92,86
3123304;Dores do Turvo;91,89;121,28;102,04;92,59
3123403;Doresópolis;76,19;122,22;50,00;47,06
3123502;Douradoquara;146,67;122,22;84,21;68,42
3123528;Durandé;125,27;69,23;52,34;97,50
3123601;Elói Mendes;98,05;84,16;99,69;119,63
3123700;Engenheiro Caldas;104,55;105,83;106,78;78,42
3123809;Engenheiro Navarro;111,50;97,50;111,94;113,33
3123858;Entre Folhas;112,70;119,74;100,00;105,80
